[INFO][查询数据库符合条件的结果, 共[9]个]:【status】【】[2018-08-28 10:44:13]
[INFO][获取订单[180827-113501143972266]信息成功, 支付状态: 待支付]:【status】【17074096941】[2018-08-28 10:44:13]
[INFO][获取订单[180827-424194212992266]信息成功, 支付状态: 待支付]:【status】【17074096941】[2018-08-28 10:44:13]
[INFO][获取订单[180827-131052995612266]信息成功, 支付状态: 待支付]:【status】【17074096941】[2018-08-28 10:44:13]
[INFO][获取订单[180827-107795579692266]信息成功, 支付状态: 待支付]:【status】【17074096941】[2018-08-28 10:44:13]
[INFO][获取订单[180827-339993560152266]信息成功, 支付状态: 待支付]:【status】【17074096941】[2018-08-28 10:44:13]
[INFO][获取订单[180827-478974444312266]信息成功, 支付状态: 待支付]:【status】【17074096941】[2018-08-28 10:44:13]
[INFO][获取订单[180827-306774672392266]信息成功, 支付状态: 待支付]:【status】【17074096941】[2018-08-28 10:44:13]
[INFO][获取订单[180827-094094623992266]信息成功, 支付状态: 待支付]:【status】【17074096941】[2018-08-28 10:44:13]
[INFO][获取订单[180827-265947055312266]信息成功, 支付状态: 待支付]:【status】【17074096941】[2018-08-28 10:44:13]
